PlotName,SiteName,SiteCode,Year,POINT_X,POINT_Y,NDMI
TNNP North+F1,TNNP North,TN,2017,-53.96971552,48.62550835,0.307999998
TNNP North+C10,TNNP North,TN,2017,-53.97453976,48.62560869,0.2456
TNNP North+F3,TNNP North,TN,2017,-53.97052882,48.6257213,0.349649996
TNNP North+B14,TNNP North,TN,2017,-53.97656611,48.62590721,0.392500013
TNNP North+C12,TNNP North,TN,2017,-53.97550024,48.62601575,0.40110001
TNNP North+F5,TNNP North,TN,2017,-53.97163412,48.62605267,0.387549996
TNNP North+C14,TNNP North,TN,2017,-53.97648202,48.62632328,0.375149995
TNNP North+F7,TNNP North,TN,2017,-53.97250165,48.62626421,0.282700002
TNNP North+I2,TNNP North,TN,2017,-53.96976775,48.62639778,0.41839999
TNNP North+F9,TNNP North,TN,2017,-53.97364605,48.62656755,0.362349987
