"","PlotName","SiteName","SiteCode","POINT_X","POINT_Y","NDMI2016","NDMI2017","coords.x1","coords.x2","coords.x3","optional"
"100","Dunphys Pond+M14","Dunphys Pond","DP",-54.1277167403,48.4339093281,0.298500001430511,0.306300014257431,712445.998232461,5368514.99850206,0,TRUE
"101","TNNP North+A1","TNNP North","TN",-53.9709824325,48.6237390886,0.370849996805191,0.240449994802475,723200.979913826,5390059.15616859,0,TRUE
"102","TNNP North+A3","TNNP North","TN",-53.9717664964,48.6239167924,0.372333347797394,0.294950008392334,723142.426899635,5390076.61235229,0,TRUE
"103","TNNP North+A5","TNNP North","TN",-53.9726695416,48.6242713725,0.348399996757507,0.287250012159348,723074.327809132,5390113.37898517,0,TRUE
"104","TNNP North+A7","TNNP North","TN",-53.9734969156,48.6244929337,0.30853334069252,0.202549993991852,723012.391445177,5390135.58409632,0,TRUE
"105","TNNP North+C2","TNNP North","TN",-53.9707052131,48.6245650384,0.385349988937378,0.324000000953674,723217.759868344,5390151.76202389,0,TRUE
"106","TNNP North+A9","TNNP North","TN",-53.974412477,48.6248291814,0.33776667714119,0.282950013875961,722943.452628749,5390170.27825233,0,TRUE
"107","TNNP North+C4","TNNP North","TN",-53.9717291753,48.6248985089,0.40146666765213,0.342449992895126,723140.845377372,5390185.82797246,0,TRUE
"108","TNNP North+D1","TNNP North","TN",-53.9701268655,48.62488589,0.347333341836929,0.319099992513657,723258.954868178,5390189.11328959,0,TRUE
"109","TNNP North+C6","TNNP North","TN",-53.9724215642,48.6251325616,0.390333324670792,0.42289999127388,723088.799658829,5390209.81533863,0,TRUE
"110","TNNP North+E1","TNNP North","TN",-53.9699373028,48.625124724,0.298133343458176,0.29679998755455,723271.866968984,5390216.2116776,0,TRUE
"111","TNNP North+A11","TNNP North","TN",-53.975334923,48.625282213,0.299233347177505,0.303149998188019,722873.492821921,5390217.93230684,0,TRUE
"112","TNNP North+C8","TNNP North","TN",-53.9737065544,48.6252883147,0.405900001525879,0.415049999952316,722993.438784773,5390223.36876432,0,TRUE
"113","TNNP North+A13","TNNP North","TN",-53.9763201924,48.625418693,0.350699990987778,0.347950011491776,722800.300155899,5390230.22264142,0,TRUE
"114","TNNP North+F1","TNNP North","TN",-53.969715523,48.6255083521,0.33953332901001,0.30799999833107,723286.513316562,5390259.49659611,0,TRUE
"115","TNNP North+C10","TNNP North","TN",-53.9745397634,48.6256086932,0.263666659593582,0.245600000023842,722930.6384794,5390256.54008205,0,TRUE
"116","TNNP North+F3","TNNP North","TN",-53.9705288248,48.6257213011,0.321033328771591,0.349649995565414,723225.652292666,5390280.7833809,0,TRUE
"117","TNNP North+B14","TNNP North","TN",-53.9765661108,48.6259072069,0.402766674757004,0.392500013113022,722780.029840891,5390283.79721061,0,TRUE
"118","TNNP North+C12","TNNP North","TN",-53.9755002381,48.626015753,0.371466666460037,0.401100009679794,722858.080573068,5390298.97392934,0,TRUE
"119","TNNP North+F5","TNNP North","TN",-53.971634124,48.6260526722,0.392366677522659,0.387549996376038,723142.756135159,5390314.37794814,0,TRUE
"120","TNNP North+C14","TNNP North","TN",-53.9764820161,48.6263232777,0.371666669845581,0.375149995088577,722784.392738238,5390330.28429222,0,TRUE
"121","TNNP North+F7","TNNP North","TN",-53.9725016532,48.6262642061,0.315233319997787,0.282700002193451,723077.907354704,5390335.35041256,0,TRUE
"122","TNNP North+I2","TNNP North","TN",-53.9697677541,48.626397779,0.403533339500427,0.41839998960495,723278.73837337,5390358.19326392,0,TRUE
"123","TNNP North+F9","TNNP North","TN",-53.9736460497,48.6265675547,0.333299994468689,0.362349987030029,722992.256070456,5390365.7184529,0,TRUE
"124","TNNP North+J1","TNNP North","TN",-53.9692064622,48.626547229,0.279433339834213,0.299899995326996,723319.431644068,5390376.44581445,0,TRUE
"125","TNNP North+I4","TNNP North","TN",-53.970751619,48.6267412899,0.41716668009758,0.416599988937378,723204.735967589,5390393.49151013,0,TRUE
"126","TNNP North+K1","TNNP North","TN",-53.9688590044,48.6268711133,0.368166655302048,0.390850007534027,723343.600165183,5390413.45898146,0,TRUE
"127","TNNP North+F11","TNNP North","TN",-53.9744465472,48.6270237462,0.240366667509079,0.190650001168251,722931.268576305,5390414.07938091,0,TRUE
"128","TNNP North+I6","TNNP North","TN",-53.9715811382,48.626998801,0.328766673803329,0.247649997472763,723142.48526988,5390419.68426555,0,TRUE
"129","TNNP North+F13","TNNP North","TN",-53.9752264443,48.6271295521,0.337000012397766,0.370149999856949,722873.344002854,5390423.55977792,0,TRUE
"130","TNNP North+L2","TNNP North","TN",-53.9692247235,48.6273205613,0.368366658687592,0.39614999294281,723314.671374906,5390462.33932182,0,TRUE
"131","TNNP North+I8","TNNP North","TN",-53.972554642,48.6273965504,0.233766660094261,0.179849997162819,723069.008708915,5390461.04253317,0,TRUE
"132","TNNP North+G14","TNNP North","TN",-53.9756819965,48.6277206204,0.298299998044968,0.315299987792969,722837.177146477,5390487.91949789,0,TRUE
"133","TNNP North+L4","TNNP North","TN",-53.9702216277,48.6276547431,0.360433340072632,0.321449995040894,723239.750542041,5390496.56208485,0,TRUE
"134","TNNP North+I10","TNNP North","TN",-53.9734202665,48.6278060772,0.345633327960968,0.360449999570847,723003.429121695,5390504.0260031,0,TRUE
"135","TNNP North+L6","TNNP North","TN",-53.9711319499,48.6279011746,0.355766654014587,0.391000002622604,723171.596653453,5390521.28667007,0,TRUE
"136","TNNP North+I12","TNNP North","TN",-53.9743805891,48.6279792095,0.355033338069916,0.384149998426437,722931.916011213,5390520.46092675,0,TRUE
"137","TNNP North+H14","TNNP North","TN",-53.9754706306,48.6280500041,0.274500012397766,0.296299993991852,722851.297635454,5390525.14415303,0,TRUE
"138","TNNP North+N1","TNNP North","TN",-53.9684343971,48.6279617939,0.394600003957748,0.374449998140335,723370.065333796,5390535.91871312,0,TRUE
"139","TNNP North+N3","TNNP North","TN",-53.9694239229,48.628170205,0.311366677284241,0.285400003194809,723296.243976419,5390556.18435895,0,TRUE
"140","TNNP North+L8","TNNP North","TN",-53.9721565119,48.6282436231,0.366499990224838,0.373549997806549,723094.603474459,5390556.34915526,0,TRUE
"141","TNNP North+I14","TNNP North","TN",-53.9753661006,48.6283496319,0.314333319664001,0.362800002098083,722857.678212967,5390558.7497107,0,TRUE
"142","TNNP North+N5","TNNP North","TN",-53.9702925349,48.6283997233,0.316599994897842,0.372249990701675,723231.238015123,5390579.15058588,0,TRUE
"143","TNNP North+L10","TNNP North","TN",-53.9731189506,48.6284527017,0.379599988460541,0.394600003957748,723022.776241103,5390576.77174727,0,TRUE
"144","TNNP North+L12","TNNP North","TN",-53.9739907546,48.6287360965,0.342866659164429,0.381099998950958,722957.29914619,5390605.71951968,0,TRUE
"145","TNNP North+N7","TNNP North","TN",-53.9712607785,48.628707643,0.349400013685226,0.189999997615814,723158.546607814,5390610.53950267,0,TRUE
"146","TNNP North+L14","TNNP North","TN",-53.9749574395,48.6290170315,0.262733340263367,0.281800001859665,722884.843609342,5390634.11744281,0,TRUE
"147","TNNP North+N9","TNNP North","TN",-53.9723494257,48.6289854505,0.346733331680298,0.311599999666214,723077.118605464,5390638.2306349,0,TRUE
"148","TNNP North+N11","TNNP North","TN",-53.973218593,48.6292239308,0.345699995756149,0.378250002861023,723012.034189814,5390662.19373748,0,TRUE
"149","TNNP North+M14","TNNP North","TN",-53.9747460632,48.6293464137,0.213333338499069,0.237800002098083,722898.964089498,5390671.34210467,0,TRUE
"150","TNNP North+N13","TNNP North","TN",-53.974106078,48.629542911,0.250800013542175,0.28914999961853,722945.245987918,5390695.05069269,0,TRUE
